"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 0.25 FSM 2 DM 2 LT 0.8 UPC 1E-05","1.461E-08","0.7518","320","All",1,0.999931,6.94191E-05,0.5,6.9419E-5,6.94191E-05,1,6.94191E-05,1.00218E-05,4.5,4.86489,0.464322,0.125001,0.125,0.125,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.219181,0.062501,,,4.53307E-05,,,,,1.44549E-11,2.03011E-12,2.409E-5,0.164831,9.99994,9.99994,19.9999,0.000126215,9.99994,9.99994,8.14633E-06,1.6713E-5,1.0749E-7,1.68206E-5,2.08581E-05,1.31491E-07,0.000108046,0.000116193,4.86491E-05,5.93974E-05,1.2005E-07,5.92773E-05,0,4.53307E-5,0.125001,1.44549E-11,2.03011E-12,2.57127E-18,0.00204652,0,-3.04923E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,6.94191E-5,6.94191E-05,0.999931,1.38894E-11,4.53307E-05,1.44549E-11,2.03011E-12,2.01179E-5,3.9705E-6
"Risk Neutral CM 0.25 FSM 2 DM 2 LT 0.8 UPC 1E-05","1.461E-08","0.7518","320","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,4.50003,4.8649,0.464323,0.124997,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125003,1,1,,,,,0,,,,,0,0,0,,10,9.99995,20,4.86492E-05,10,9.99995,0,0,0,0,0,0,4.86492E-05,4.86492E-05,4.86492E-05,0,0,0,0,0,,0,0,0,,0,-3.13921E-06,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,0.102829,0.127185,0.135104,0.134876,0.134877,0.135107,0.127189,0.102833,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 0.25 FSM 2 DM 2 LT 0.8 UPC 1E-05","1.461E-08","0.7518","320","DisputeArises",6.9E-5,0,1,0.440741,1,1,1,1,0.144366,4.02593,4.72873,0.446062,0.17535,0.154487,0.136177,0.122812,0.112694,0.104973,0.0995377,0.093969,1,1,0.219181,0.062501,,,0.653,,,,,2.08227E-07,2.92442E-08,0.346999,0.164831,9.10245,9.78015,18.8826,1.1174,9.10245,9.78015,0.11735,0.240757,0.0015484,0.242305,0.300466,0.00189416,0.855681,0.973031,4.72873E-05,0.855634,0.00172935,0.853905,0,0.653,0.125001,2.08227E-07,2.92442E-08,3.70398E-14,0.00204652,0,0.045218,0.12665,0.151671,0.152989,0.141691,0.129121,0.11763,0.102232,0.0780178,0.128101,0.154537,0.1581,0.139488,0.129484,0.120821,0.0958794,0.07359,1,1,2.0008E-07,2.0008E-07,0.653,2.08227E-07,2.92442E-08,0.289803,0.0571964
"Risk Neutral CM 0.25 FSM 2 DM 2 LT 0.8 UPC 1E-05","1.461E-08","0.7518","320","PFiles",6.9E-5,0,1,0.440741,1,1,1,1,0.144366,4.02593,4.72873,0.446062,0.17535,0.154487,0.136177,0.122812,0.112694,0.104973,0.0995377,0.093969,1,1,0.219181,0.062501,,,0.653,,,,,2.08227E-07,2.92442E-08,0.347,0.164831,9.10245,9.78015,18.8826,1.1174,9.10245,9.78015,0.11735,0.240757,0.0015484,0.242305,0.300466,0.00189416,0.855681,0.973031,4.72873E-05,0.855634,0.00172935,0.853905,0,0.653,0.125001,2.08227E-07,2.92442E-08,3.70398E-14,0.00204652,0,0.045218,0.12665,0.151671,0.152989,0.141691,0.129121,0.11763,0.102232,0.0780178,0.128101,0.154537,0.1581,0.139488,0.129484,0.120821,0.0958794,0.07359,1,1,0,2.0008E-07,0.653,2.08227E-07,2.92442E-08,0.289803,0.0571964
"Risk Neutral CM 0.25 FSM 2 DM 2 LT 0.8 UPC 1E-05","1.461E-08","0.7518","320","DAnswers",6.9E-5,0,1,0.440741,1,1,1,1,0.144366,4.02593,4.72873,0.446062,0.17535,0.154487,0.136177,0.122812,0.112694,0.104973,0.0995377,0.093969,1,1,0.219181,0.062501,,,0.653,,,,,2.08227E-07,2.92442E-08,0.347,0.164831,9.10245,9.78015,18.8826,1.1174,9.10245,9.78015,0.11735,0.240756,0.0015484,0.242305,0.300466,0.00189416,0.855681,0.973031,4.72873E-05,0.855634,0.00172935,0.853905,0,0.653,0.125001,2.08227E-07,2.92442E-08,3.70398E-14,0.00204652,0,0.045218,0.12665,0.151671,0.152989,0.141691,0.129121,0.11763,0.102232,0.0780178,0.128101,0.154537,0.1581,0.139488,0.129484,0.120821,0.0958794,0.07359,1,1,0,0,0.653,2.08227E-07,2.92442E-08,0.289803,0.0571964
"Risk Neutral CM 0.25 FSM 2 DM 2 LT 0.8 UPC 1E-05","1.461E-08","0.7518","320","Litigated",6.9E-5,0,1,0.440741,1,1,1,1,0.144366,4.02593,4.72873,0.446062,0.17535,0.154487,0.136177,0.122812,0.112694,0.104973,0.0995377,0.093969,1,1,0.219181,0.062501,,,0.653,,,,,2.08227E-07,2.92442E-08,0.347,0.164831,9.10245,9.78015,18.8826,1.1174,9.10245,9.78015,0.11735,0.240756,0.0015484,0.242305,0.300466,0.00189416,0.855681,0.973031,4.72873E-05,0.855634,0.00172935,0.853905,0,0.653,0.125001,2.08227E-07,2.92442E-08,3.70398E-14,0.00204652,0,0.045218,0.12665,0.151671,0.152989,0.141691,0.129121,0.11763,0.102232,0.0780178,0.128101,0.154537,0.1581,0.139488,0.129484,0.120821,0.0958794,0.07359,1,1,0,0,0.653,2.08227E-07,2.92442E-08,0.289803,0.0571964
"Risk Neutral CM 0.25 FSM 2 DM 2 LT 0.8 UPC 1E-05","1.461E-08","0.7518","320","Not Litigated",0.9999,1,2.77807E-11,0.500004,1.389E-11,0,1,2.77807E-11,4.01059E-12,4.50003,4.8649,0.464323,0.124997,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125003,1,1,,,,,0,,,,,0,0,0,,10,9.99995,20,4.86492E-05,10,9.99995,3.47259E-13,2.775E-11,2.843E-14,2.7781E-11,5.54761E-11,2.84268E-14,4.86492E-05,4.86492E-05,4.86492E-05,2.37701E-11,4.80425E-14,2.37221E-11,0,0,,0,0,0,0.00204652,0,-3.13921E-06,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,0.102829,0.127185,0.135104,0.134876,0.134877,0.135107,0.127189,0.102833,1.389E-11,0,1,1.38903E-11,0,0,0,0,0
"Risk Neutral CM 0.25 FSM 2 DM 2 LT 0.8 UPC 1E-05","1.461E-08","0.7518","320","Settles",4.5E-5,0,1,0.385462,1,1,1,1,0.142658,3.5837,4.79231,0.398385,0.245726,0.193263,0.141379,0.100249,0.0719224,0.065756,0.0814751,0.10023,1,1,0.0625003,0.0625012,,,1,,,,,0,0,0,,9.075,9.82495,18.9,1.10005,9.075,9.82495,0.1,0.174999,1.3457E-5,0.175012,0.0306262,1.24475E-05,0.85739,0.95739,4.79231E-05,0.857342,1.24148E-05,0.85733,0,1,0.125001,0,0,0,1.46621E-05,0,-0.822189,0.193951,0.232267,0.234285,0.117402,0.037758,0.0558983,0.0667339,0.0617045,0.155049,0.168755,0.143409,0.132726,0.0881844,0.0523536,0.146829,0.112695,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 0.25 FSM 2 DM 2 LT 0.8 UPC 1E-05","1.461E-08","0.7518","320","Tried",2.4E-5,0,1,0.544768,1,1,1,1,0.147581,4.85814,4.60907,0.535782,0.0429134,0.0815168,0.126387,0.165272,0.18942,0.178775,0.133529,0.0821869,1,1,0.514031,0.0625008,,,0,,,,,0,0,1,0.164831,9.15411,9.69584,18.85,1.15005,9.15411,9.69584,0.15,0.364502,0.0044369,0.368939,0.808262,0.00543525,0.852465,1.00247,4.60907E-05,0.852419,0.00496036,0.847459,0,0,,0,0,0,0.00587016,0,1.67755,7.49462E-07,8.61307E-07,1.02313E-06,0.187398,0.301051,0.233798,0.169033,0.108717,0.0773899,0.12778,0.185746,0.152214,0.207204,0.249665,5.66156E-07,4.77818E-07,1,1,0,0,0,0,0,0.835169,0.164831
"Risk Neutral CM 0.25 FSM 2 DM 2 LT 0.8 UPC 1E-05","1.461E-08","0.7518","320","PWins",4E-06,0,1,0.599858,1,1,1,1,0.151785,5.29886,4.60728,0.572438,0.0220867,0.0513931,0.0985384,0.150153,0.190309,0.201826,0.170288,0.115405,1,1,0.526351,0.0625028,,,0,,,,,0,0,1,1,11.075,7.77495,18.85,1.15005,11.075,7.77495,0.15,2.21136,0,2.21136,4.90357,0,0.848261,0.998261,4.60728E-05,0.848215,0.0115234,0.836691,0,0,,0,0,0,0.0136392,0,1.76698,9.51888E-07,1.25608E-06,1.55423E-06,0.152744,0.265145,0.242081,0.199212,0.140814,0.0571458,0.117942,0.217594,0.122285,0.201941,0.28309,1.48542E-06,1.26772E-06,1,1,0,0,0,0,0,0,1
