"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"MODRA CM 1 LT 0 DM 2","0","NaN","47","All",1,1,1.26463E-11,0.5,1.265E-11,1.26463E-11,2.0008E-07,1.26463E-11,2.00069E-12,3,8.0032E-07,1.71665,0.2,0.2,0.2,0.2,0.2,1,1,0.9,0.9,,,1.26463E-11,,,,,1.01252E-24,1.01211E-17,2.03E-24,1,10,9.999,19.999,0.001,1000,1000,5.05853E-12,1.265E-11,0,1.2646E-11,1.26463E-11,0,0.001,0.001,0.001,1.06456E-11,1.06456E-11,0,0,1.2646E-11,1.8,1.01252E-24,1.01211E-17,2.02503E-24,1,0,0,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,1.2646E-11,1.26463E-11,1,2.53028E-18,1.26463E-11,1.01252E-24,1.01211E-17,2.58E-40,2.025E-24
"MODRA CM 1 LT 0 DM 2","0","NaN","47","NoDispute",1,1,0,0.5,0,0,2.00067E-07,0,0,3,8.00269E-07,1.71665,0.2,0.2,0.2,0.2,0.2,1,1,,,,,0,,,,,0,0,0,,10,9.999,19.999,0.001,1000,1000,0,0,0,0,0,0,0.001,0.001,0.001,0,0,0,0,0,,0,0,0,,0,0,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,0,0,1,0,0,0,0,0,0
"MODRA CM 1 LT 0 DM 2","0","NaN","47","DisputeArises",1E-11,0,1,0.454165,1,1,1,1,0.158204,2.77083,4,0.510732,0.260123,0.217707,0.184094,0.167373,0.170703,1,1,0.9,0.9,,,0.999999,,,,,8.0064E-14,8.00319E-07,1.6E-13,1,10.6,7.99996,18.6,1.40004,1000.13,989.999,0.4,1,2.401E-07,1,1,2.08083E-07,0.841836,1.24184,4E-05,0.841796,0.841796,0,0,0.999999,1.8,8.0064E-14,8.00319E-07,1.60128E-13,1,0,-1.52547E-14,0.215069,0.244791,0.21592,0.186399,0.137821,0.215069,0.244791,0.21592,0.186399,0.137821,1,1,2.0008E-07,2.0008E-07,0.999999,8.0064E-14,8.00319E-07,2.0401E-29,1.601E-13
"MODRA CM 1 LT 0 DM 2","0","NaN","47","PFiles",1E-11,0,1,0.454165,1,1,1,1,0.158204,2.77083,4,0.510732,0.260123,0.217707,0.184094,0.167373,0.170703,1,1,0.9,0.9,,,0.999999,,,,,8.0064E-14,8.00319E-07,1.6E-13,1,10.6,7.99996,18.6,1.40004,1000.13,989.999,0.4,1,4.0016E-8,1,1,8.00342E-09,0.841836,1.24184,4E-05,0.841796,0.841796,0,0,0.999999,1.8,8.0064E-14,8.00319E-07,1.60128E-13,1,0,-1.41663E-14,0.215069,0.244791,0.21592,0.186399,0.137821,0.215069,0.244791,0.21592,0.186399,0.137821,1,1,0,2.0008E-07,0.999999,8.0064E-14,8.00319E-07,2.0401E-29,1.601E-13
"MODRA CM 1 LT 0 DM 2","0","NaN","47","DAnswers",1E-11,0,1,0.454165,1,1,1,1,0.158204,2.77083,4,0.510732,0.260123,0.217707,0.184094,0.167373,0.170703,1,1,0.9,0.9,,,0.999999,,,,,8.0064E-14,8.0032E-07,1.6E-13,1,10.6,7.99996,18.6,1.40004,1000.13,989.999,0.4,1,4.0016E-8,1,1,8.00342E-09,0.841836,1.24184,4E-05,0.841796,0.841796,0,0,0.999999,1.8,8.0064E-14,8.0032E-07,1.60128E-13,1,0,-1.38655E-14,0.215069,0.244791,0.21592,0.186399,0.137821,0.215069,0.244791,0.21592,0.186399,0.137821,1,1,0,0,0.999999,8.0064E-14,8.0032E-07,2.0401E-29,1.601E-13
"MODRA CM 1 LT 0 DM 2","0","NaN","47","Litigated",1E-11,0,1,0.454165,1,1,1,1,0.158204,2.77083,4,0.510732,0.260123,0.217707,0.184094,0.167373,0.170703,1,1,0.9,0.9,,,0.999999,,,,,8.0064E-14,8.0032E-07,1.6E-13,1,10.6,7.99996,18.6,1.40004,1000.13,989.999,0.4,1,4.0016E-8,1,1,8.00342E-09,0.841836,1.24184,4E-05,0.841796,0.841796,0,0,0.999999,1.8,8.0064E-14,8.0032E-07,1.60128E-13,1,0,-1.38655E-14,0.215069,0.244791,0.21592,0.186399,0.137821,0.215069,0.244791,0.21592,0.186399,0.137821,1,1,0,0,0.999999,8.0064E-14,8.0032E-07,2.0401E-29,1.601E-13
"MODRA CM 1 LT 0 DM 2","0","NaN","47","Not Litigated",1,1,5.06056E-18,0.5,2.53E-18,0,2.00067E-07,5.06056E-18,8.00598E-19,3,8.00269E-07,1.71665,0.2,0.2,0.2,0.2,0.2,1,1,,,,,0,,,,,0,0,0,,10,9.999,19.999,0.001,1000,1000,0,0,0,0,0,0,0.001,0.001,0.001,0,0,0,0,0,,0,0,0,1,0,0,0.176198,0.21568,0.216243,0.21568,0.176198,0.176198,0.21568,0.216243,0.21568,0.176198,2.5303E-18,0,1,2.53028E-18,0,0,0,0,0
"MODRA CM 1 LT 0 DM 2","0","NaN","47","Settles",1E-11,0,1,0.454165,1,1,1,1,0.158204,2.77083,4,0.510732,0.260123,0.217707,0.184094,0.167373,0.170703,1,1,0.9,0.9,,,1,,,,,0,0,0,,10.6,7.99996,18.6,1.40004,1000.13,989.999,0.4,1,4.0016E-8,1,0.999999,8.00331E-09,0.841836,1.24184,4E-05,0.841796,0.841796,0,0,1,1.8,0,0,0,1,0,-8.01846E-15,0.215069,0.244791,0.21592,0.186399,0.137821,0.215069,0.244791,0.21592,0.186399,0.137821,1,1,0,0,1,0,0,0,0
"MODRA CM 1 LT 0 DM 2","0","NaN","47","Tried",2E-24,0,1,0.454165,1,1,1,1,0.158204,2.77083,4,0.510732,0.260123,0.217707,0.184094,0.167373,0.170703,1,1,0.9,0.4,,,0,,,,,0,0,1,1,10.7,7.69996,18.4,1.60004,1000.14,981.624,0.6,1.3,0,1.3,1.69,0,0.841836,1.44184,4E-05,0.841796,0.841796,0,0,0,,0,0,0,1,0,-7.31128E-15,0.215069,0.244791,0.21592,0.186399,0.137821,0.215069,0.244791,0.21592,0.186399,0.137821,1,1,0,0,0,0,0,1.2741E-16,1
"MODRA CM 1 LT 0 DM 2","0","NaN","47","PWins",2E-24,0,1,0.454165,1,1,1,1,0.158204,2.77083,4,0.510732,0.260123,0.217707,0.184094,0.167373,0.170703,1,1,0.9,0.4,,,0,,,,,0,0,1,1,10.7,7.69996,18.4,1.60004,1000.14,981.624,0.6,1.3,0,1.3,1.69,0,0.841836,1.44184,4E-05,0.841796,0.841796,0,0,0,,0,0,0,1,0,-7.31128E-15,0.215069,0.244791,0.21592,0.186399,0.137821,0.215069,0.244791,0.21592,0.186399,0.137821,1,1,0,0,0,0,0,0,1
