"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 0.25 DM 4 LT 1.2","1.508E-08","0.8877","113","All",1,0.999916,8.40124E-05,0.5,8.4012E-5,8.40124E-05,1,8.40124E-05,1.00145E-05,4.5,2.63488,0.733156,0.125001,0.125,0.124999,0.124999,0.124999,0.125,0.125,0.125001,1,1,0.16158,0.0625007,,,6.19517E-05,,,,,4.41396E-12,4.41391E-12,2.206E-5,0.0887428,9.99993,9.99995,19.9999,0.000119866,9.99993,9.99995,9.50428E-06,2.807E-05,2.459E-09,2.80721E-5,3.81888E-05,2.64287E-09,0.000100347,0.000109851,2.6349E-05,7.39979E-05,3.28517E-09,7.39946E-05,0,6.19517E-5,0.250002,4.41396E-12,4.41391E-12,8.83145E-19,4.3636E-05,0,-1.42451E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,8.40124E-5,8.40124E-05,0.999916,1.68092E-11,6.19517E-05,4.41396E-12,4.41391E-12,2.0103E-05,1.9577E-6
"Risk Neutral CM 0.25 DM 4 LT 1.2","1.508E-08","0.8877","113","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,4.50003,2.63489,0.733157,0.124998,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,2.63491E-05,10,9.99997,0,0,0,0,0,0,2.63491E-05,2.63491E-05,2.63491E-05,0,0,0,0,0,,0,0,0,,0,-6.48166E-06,0.10283,0.127185,0.135105,0.134876,0.134877,0.135107,0.127188,0.102833,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 0.25 DM 4 LT 1.2","1.508E-08","0.8877","113","DisputeArises",8.4E-5,0,1,0.455716,1,1,1,1,0.119203,4.14573,2.468,0.716113,0.164806,0.148516,0.132793,0.121078,0.112949,0.108029,0.106343,0.105485,1,1,0.16158,0.0625007,,,0.737411,,,,,5.25393E-08,5.25388E-08,0.262589,0.0887428,9.221,9.66584,18.8868,1.11315,9.221,9.66584,0.113129,0.334113,2.9269E-5,0.334142,0.454561,3.14581E-05,0.880822,0.993951,2.468E-05,0.880797,3.91034E-05,0.880758,0,0.737411,0.250002,5.25393E-08,5.25388E-08,1.05121E-14,4.3636E-05,0,0.0771447,0.120483,0.145468,0.148528,0.139957,0.130461,0.121963,0.108621,0.0845183,0.125849,0.154749,0.150619,0.134618,0.129362,0.124991,0.100657,0.079154,1,1,2.0008E-07,2.0008E-07,0.737411,5.25393E-08,5.25388E-08,0.239286,0.0233029
"Risk Neutral CM 0.25 DM 4 LT 1.2","1.508E-08","0.8877","113","PFiles",8.4E-5,0,1,0.455716,1,1,1,1,0.119203,4.14573,2.468,0.716113,0.164806,0.148516,0.132793,0.121078,0.112949,0.108029,0.106343,0.105485,1,1,0.16158,0.0625007,,,0.737411,,,,,5.25393E-08,5.25388E-08,0.262589,0.0887428,9.221,9.66584,18.8868,1.11315,9.221,9.66584,0.113129,0.334113,2.9269E-5,0.334142,0.454562,3.14581E-05,0.880822,0.993951,2.468E-05,0.880797,3.91034E-05,0.880758,0,0.737411,0.250002,5.25393E-08,5.25388E-08,1.05121E-14,4.3636E-05,0,0.0771447,0.120483,0.145468,0.148528,0.139957,0.130461,0.121963,0.108621,0.0845183,0.125849,0.154749,0.150619,0.134618,0.129362,0.124991,0.100657,0.079154,1,1,0,2.0008E-07,0.737411,5.25393E-08,5.25388E-08,0.239286,0.0233029
"Risk Neutral CM 0.25 DM 4 LT 1.2","1.508E-08","0.8877","113","DAnswers",8.4E-5,0,1,0.455716,1,1,1,1,0.119203,4.14573,2.468,0.716113,0.164806,0.148516,0.132793,0.121078,0.112949,0.108029,0.106343,0.105485,1,1,0.16158,0.0625007,,,0.737411,,,,,5.25394E-08,5.25388E-08,0.262589,0.0887428,9.221,9.66584,18.8868,1.11315,9.221,9.66584,0.113129,0.334112,2.9269E-5,0.334142,0.454558,3.14581E-05,0.880822,0.993951,2.468E-05,0.880797,3.91034E-05,0.880758,0,0.737411,0.250002,5.25394E-08,5.25388E-08,1.05121E-14,4.3636E-05,0,0.0771447,0.120483,0.145468,0.148528,0.139957,0.130461,0.121963,0.108621,0.0845183,0.125849,0.154749,0.150619,0.134618,0.129362,0.124991,0.100657,0.079154,1,1,0,0,0.737411,5.25394E-08,5.25388E-08,0.239286,0.0233029
"Risk Neutral CM 0.25 DM 4 LT 1.2","1.508E-08","0.8877","113","Litigated",8.4E-5,0,1,0.455716,1,1,1,1,0.119203,4.14573,2.468,0.716113,0.164806,0.148516,0.132793,0.121078,0.112949,0.108029,0.106343,0.105485,1,1,0.16158,0.0625007,,,0.737411,,,,,5.25394E-08,5.25388E-08,0.262589,0.0887428,9.221,9.66584,18.8868,1.11315,9.221,9.66584,0.113129,0.334112,2.9269E-5,0.334142,0.454558,3.14581E-05,0.880822,0.993951,2.468E-05,0.880797,3.91034E-05,0.880758,0,0.737411,0.250002,5.25394E-08,5.25388E-08,1.05121E-14,4.3636E-05,0,0.0771447,0.120483,0.145468,0.148528,0.139957,0.130461,0.121963,0.108621,0.0845183,0.125849,0.154749,0.150619,0.134618,0.129362,0.124991,0.100657,0.079154,1,1,0,0,0.737411,5.25394E-08,5.25388E-08,0.239286,0.0233029
"Risk Neutral CM 0.25 DM 4 LT 1.2","1.508E-08","0.8877","113","Not Litigated",0.9999,1,3.36212E-11,0.500004,1.681E-11,0,1,3.36212E-11,4.00776E-12,4.50003,2.63489,0.733157,0.124998,0.124998,0.124999,0.125,0.125,0.125001,0.125002,0.125002,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,2.63491E-05,10,9.99997,4.20265E-13,6.724E-11,0,6.7242E-11,2.68965E-10,0,2.63491E-05,2.63491E-05,2.63491E-05,2.96135E-11,1.3147E-15,2.96122E-11,0,0,,0,0,0,4.3636E-05,0,-6.48165E-06,0.10283,0.127185,0.135105,0.134876,0.134877,0.135107,0.127188,0.102833,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,1.6811E-11,0,1,1.68106E-11,0,0,0,0,0
"Risk Neutral CM 0.25 DM 4 LT 1.2","1.508E-08","0.8877","113","Settles",6.2E-5,0,1,0.414585,1,1,1,1,0.119337,3.81668,2.52799,0.674346,0.207264,0.172702,0.139904,0.115882,0.0950293,0.0811246,0.0858745,0.102219,1,1,0.0625001,0.0625009,,,1,,,,,0,0,0,,9.2,9.69997,18.9,1.10003,9.2,9.69997,0.1,0.300002,3.1752E-8,0.300002,0.0900045,2.54016E-08,0.880688,0.980688,2.52799E-05,0.880663,3.5615E-08,0.880662,0,1,0.250002,0,0,0,3.97441E-08,0,-0.672346,0.163386,0.197269,0.201418,0.13737,0.124465,0.052493,0.0638049,0.059794,0.133764,0.147336,0.15365,0.139569,0.106659,0.0751825,0.1365,0.10734,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 0.25 DM 4 LT 1.2","1.508E-08","0.8877","113","Tried",2.2E-5,0,1,0.571224,1,1,1,1,0.118826,5.06979,2.29951,0.833406,0.0455754,0.0805961,0.112824,0.13567,0.163271,0.183583,0.163825,0.114656,1,1,0.439821,0.0625001,,,0,,,,,0,0,1,0.0887428,9.27997,9.57001,18.85,1.15002,9.27997,9.57001,0.15,0.429901,0.0001114,0.430012,1.47831,0.000119729,0.881197,1.0312,2.29951E-05,0.881174,0.000148815,0.881025,0,0,,0,0,0,0.000166064,0,2.18189,7.45203E-07,9.02765E-07,9.26984E-07,0.147222,0.1473,0.317049,0.234476,0.15395,0.103625,0.175567,0.142108,0.120717,0.193118,0.264863,9.1226E-07,7.37598E-07,1,1,0,0,0,0,0,0.911257,0.0887428
"Risk Neutral CM 0.25 DM 4 LT 1.2","1.508E-08","0.8877","113","PWins",2E-06,0,1,0.618519,1,1,1,1,0.119204,5.44816,2.23848,0.879158,0.0212927,0.0513831,0.09687,0.136893,0.164047,0.190175,0.190083,0.149256,1,1,0.441618,0.0625002,,,0,,,,,0,0,1,1,12.925,5.92498,18.85,1.15002,12.925,5.92498,0.15,4.0743,0,4.0743,16.6006,0,0.880818,1.03082,2.23848E-05,0.880796,0.000630722,0.880165,0,0,,0,0,0,0.000703824,0,2.33278,3.48257E-07,5.05088E-07,6.58308E-07,0.127021,0.147203,0.292864,0.250211,0.1827,0.0922903,0.213455,0.150013,0.0890411,0.175035,0.280163,1.55016E-06,1.38604E-06,1,1,0,0,0,0,0,0,1
