"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PrecPower6","PrecPower7","PrecPower8","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","PLiabilitySignal6","PLiabilitySignal7","PLiabilitySignal8","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","DLiabilitySignal6","DLiabilitySignal7","DLiabilitySignal8","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 1 CN Low Indet LT 0.8","6.336E-08","0.7651","100","All",1,0.999926,7.44251E-05,0.5,5.111E-06,5.11093E-06,1,7.44251E-05,1.00265E-05,4.5,4,0.572476,0.125001,0.125,0.125,0.124999,0.125,0.125,0.125,0.125001,1,1,0.47363,0.295605,,,2.19419E-06,,,,,5.83597E-13,5.83582E-13,2.917E-6,0.358054,9.99993,9.99996,19.9999,0.000117053,9.99993,9.99996,2.62772E-06,2.0922E-6,2.0584E-6,4.15058E-6,1.58589E-06,1.91468E-06,0.000104399,0.000107027,4.00002E-05,6.43986E-05,2.20578E-06,6.21928E-05,0,2.19419E-6,0.437498,5.83597E-13,5.83582E-13,1.16766E-19,0.0341097,0,-1.03727E-14,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,0.102831,0.127187,0.135106,0.134876,0.134876,0.135106,0.127187,0.102831,5.11096E-6,5.11093E-06,0.999995,2.87370E-11,2.19419E-06,5.83597E-13,5.83582E-13,1.87239E-6,1.0444E-6
"Risk Neutral CM 1 CN Low Indet LT 0.8","6.336E-08","0.7651","100","NoDispute",0.9999,1,0,0.500004,0,0,1,0,0,4.50003,4.00001,0.572477,0.124998,0.124998,0.124999,0.124999,0.125,0.125001,0.125002,0.125003,1,1,,,,,0,,,,,0,0,0,,10,9.99996,20,4.00003E-05,10,9.99996,0,0,0,0,0,0,4.00003E-05,4.00003E-05,4.00003E-05,0,0,0,0,0,,0,0,0,,0,-4.19366E-06,0.102829,0.127185,0.135105,0.134876,0.134877,0.135107,0.127189,0.102833,0.102829,0.127185,0.135104,0.134875,0.134877,0.135108,0.127189,0.102833,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 1 CN Low Indet LT 0.8","6.336E-08","0.7651","100","DisputeArises",7.4E-5,0,1,0.447292,0.0686725,0.0686721,1,1,0.134719,4.07834,3.82339,0.557271,0.167592,0.150885,0.136862,0.125801,0.114719,0.105422,0.100694,0.0980248,1,1,0.47363,0.295605,,,0.0294819,,,,,7.8414E-09,7.8412E-09,0.03919,0.358054,9.00928,9.95538,18.9647,1.03535,9.00928,9.95538,0.0353069,0.0281112,0.0276573,0.0557685,0.0213086,0.0257263,0.865319,0.900626,3.82339E-05,0.865281,0.0296376,0.835643,0,0.0294819,0.437498,7.8414E-09,7.8412E-09,1.56891E-15,0.0341097,0,0.0563433,0.12446,0.149731,0.151881,0.141477,0.129638,0.118829,0.104023,0.0799617,0.12579,0.152728,0.157827,0.15196,0.120775,0.112694,0.100269,0.0779573,0.0686725,0.0686721,0.931327,3.86119E-07,0.0294819,7.8414E-09,7.8412E-09,0.025158,0.0140322
"Risk Neutral CM 1 CN Low Indet LT 0.8","6.336E-08","0.7651","100","PFiles",5.1E-6,0,1,0.561789,1,0.999994,1,1,0.124429,4.99431,2.99998,0.75609,0.00688818,0.0296388,0.0986386,0.219935,0.289323,0.218038,0.102664,0.034875,1,1,0.47363,0.295605,,,0.429311,,,,,1.14185E-07,1.14183E-07,0.570683,0.358054,9.1351,9.35074,18.4858,1.51416,9.1351,9.35074,0.514135,0.409351,0.26162,0.670971,0.310293,0.233501,0.875601,1.38974,2.99998E-05,0.875571,0.308807,0.566763,0,0.429311,0.437498,1.14185E-07,1.14183E-07,2.28462E-14,0.355578,0,3.3219,1.60777E-06,1.96756E-06,2.05573E-06,2.00574E-06,1.95348E-06,0.553673,0.301218,0.1451,0.0574439,0.136707,0.284785,0.521056,2.17855E-06,2.24748E-06,2.16697E-06,1.77955E-06,1,0.999994,0,5.62262E-06,0.429311,1.14185E-07,1.14183E-07,0.366348,0.204336
"Risk Neutral CM 1 CN Low Indet LT 0.8","6.336E-08","0.7651","100","DAnswers",5.1E-6,0,1,0.561788,1,1,1,1,0.12443,4.9943,2.99999,0.756088,0.00688815,0.0296388,0.0986388,0.219936,0.289324,0.218038,0.102663,0.0348738,1,1,0.47363,0.295605,,,0.429313,,,,,1.14186E-07,1.14183E-07,0.570687,0.358054,9.13509,9.35074,18.4858,1.51417,9.13509,9.35074,0.514137,0.409353,0.261621,0.670974,0.310294,0.233502,0.8756,1.38974,2.99999E-05,0.87557,0.308804,0.566766,0,0.429313,0.437498,1.14186E-07,1.14183E-07,2.28464E-14,0.355575,0,3.32192,1.46955E-06,1.71574E-06,1.64431E-06,1.3894E-06,1.10407E-06,0.553675,0.301218,0.1451,0.0574442,0.136708,0.284787,0.521058,1.07434E-06,1.14654E-06,7.06038E-07,6.039E-07,1,1,0,0,0.429313,1.14186E-07,1.14183E-07,0.36635,0.204337
"Risk Neutral CM 1 CN Low Indet LT 0.8","6.336E-08","0.7651","100","Litigated",5.1E-6,0,1,0.561788,1,1,1,1,0.12443,4.9943,2.99999,0.756088,0.00688815,0.0296388,0.0986388,0.219936,0.289324,0.218038,0.102663,0.0348738,1,1,0.47363,0.295605,,,0.429313,,,,,1.14186E-07,1.14183E-07,0.570687,0.358054,9.13509,9.35074,18.4858,1.51417,9.13509,9.35074,0.514137,0.409353,0.261621,0.670974,0.310294,0.233502,0.8756,1.38974,2.99999E-05,0.87557,0.308804,0.566766,0,0.429313,0.437498,1.14186E-07,1.14183E-07,2.28464E-14,0.355575,0,3.32192,1.46955E-06,1.71574E-06,1.64431E-06,1.3894E-06,1.10407E-06,0.553675,0.301218,0.1451,0.0574442,0.136708,0.284787,0.521058,1.07434E-06,1.14654E-06,7.06038E-07,6.039E-07,1,1,0,0,0.429313,1.14186E-07,1.14183E-07,0.36635,0.204337
"Risk Neutral CM 1 CN Low Indet LT 0.8","6.336E-08","0.7651","100","Not Litigated",1,0.999931,6.93145E-05,0.5,2.874E-11,0,1,6.93145E-05,9.39057E-06,4.5,4,0.572475,0.125001,0.125,0.125,0.124999,0.124999,0.124999,0.125,0.125001,1,1,,,,,0,,,,,0,0,0,,9.99993,9.99996,19.9999,0.000109315,9.99993,9.99996,2.87371E-12,2.348E-12,7.2128E-7,7.21279E-7,2.34776E-12,7.21274E-07,9.99242E-05,9.99242E-05,4.00002E-05,5.99239E-05,6.2751E-07,5.92964E-05,0,0,,0,0,0,0.0104062,0,-1.69782E-05,0.102832,0.127188,0.135107,0.134877,0.134877,0.135104,0.127186,0.102831,0.102831,0.127187,0.135105,0.134874,0.134877,0.135107,0.127188,0.102832,2.8737E-11,0,1,2.87371E-11,0,0,0,0,0
"Risk Neutral CM 1 CN Low Indet LT 0.8","6.336E-08","0.7651","100","Settles",2.2E-6,0,1,0.603081,1,1,1,1,0.125977,5.32464,2.99999,0.787341,0.000679481,0.007283,0.0500109,0.183799,0.323303,0.273418,0.124906,0.0366005,1,1,0.437497,0.437499,,,1,,,,,0,0,0,,9.2375,9.36247,18.6,1.40003,9.2375,9.36247,0.4,0.360234,0.331629,0.691863,0.229649,0.252867,0.874053,1.27405,2.99999E-05,0.874023,0.377778,0.496245,0,1,0.437498,0,0,0,0.434924,0,2.39092,3.42303E-06,3.99647E-06,1.88918E-06,8.40836E-07,8.04408E-07,0.609027,0.39096,1.60863E-06,2.72092E-06,3.19688E-06,3.28552E-06,0.999984,1.46033E-06,2.52118E-06,1.44827E-06,1.21262E-06,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 1 CN Low Indet LT 0.8","6.336E-08","0.7651","100","Tried",2.9E-6,0,1,0.530724,1,1,1,1,0.123265,4.7458,2.99999,0.732577,0.0115588,0.0464565,0.13522,0.247121,0.263762,0.176377,0.08593,0.0335749,1,1,0.500811,0.188862,,,0,,,,,0,0,1,0.358054,9.05805,9.34192,18.4,1.60003,9.05805,9.34192,0.6,0.446304,0.208956,0.65526,0.370961,0.218935,0.876765,1.47676,2.99999E-05,0.876735,0.256917,0.619818,0,0,,0,0,0,0.295883,0,4.02229,2.70125E-12,3.19788E-12,1.4601E-06,1.80207E-06,1.3295E-06,0.512035,0.233708,0.254253,0.100656,0.239547,0.499022,0.160774,7.83968E-07,1.12439E-07,1.47678E-07,1.45977E-07,1,1,0,0,0,0,0,0.641946,0.358054
"Risk Neutral CM 1 CN Low Indet LT 0.8","6.336E-08","0.7651","100","PWins",1E-06,0,1,0.623842,1,1,1,1,0.126784,5.49073,2.99998,0.80277,0.000983588,0.00876449,0.0514878,0.167622,0.280458,0.2609,0.158693,0.0710912,1,1,0.531773,0.222844,,,0,,,,,0,0,1,1,9.7,8.69997,18.4,1.60003,9.7,8.69997,0.6,0.809313,0.147206,0.956519,0.9049,0.0441619,0.873246,1.47325,2.99998E-05,0.873216,0.425837,0.447379,0,0,,0,0,0,0.490687,0,4.02326,2.33907E-12,3.08951E-12,1.3809E-06,2.30272E-06,1.98269E-06,0.385583,0.235817,0.378595,0.0540402,0.181198,0.505754,0.259005,1.41948E-06,2.20765E-07,3.05643E-07,3.12412E-07,1,1,0,0,0,0,0,0,1
